date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:24	13331/13331	---M--	200	added ('OK')	image/png	etag:%225270b15e-3413%22	http://mediaget.com/userfiles/images/loc/en/win.png	D:/2/mediaget.com/userfiles/images/loc/en/win.png	(from http://mediaget.com/)
16:44:25	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:24%20GMT	http://mediaget.com/download.php?os=mac	D:/2/mediaget.com/downloadf237.php	(from http://mediaget.com/)
16:44:25	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:24%20GMT	http://mediaget.com/download.php?os=android	D:/2/mediaget.com/downloadcf96.php	(from http://mediaget.com/)
16:44:26	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:25%20GMT	http://mediaget.com/download.php?os=android	D:/2/mediaget.com/download.20cf96.delayed	(from http://mediaget.com/)
16:44:28	8748/8748	---M--	200	added ('OK')	image/png	etag:%225370b084-222c%22	http://mediaget.com/images/norton.png	D:/2/mediaget.com/images/norton.png	(from http://mediaget.com/)
16:44:28	49734/49734	---M--	200	added ('OK')	image/png	etag:%225270b15e-c246%22	http://mediaget.com/userfiles/images/loc/en/s1.png	D:/2/mediaget.com/userfiles/images/loc/en/s1.png	(from http://mediaget.com/)
16:44:29	6600/6600	---M--	200	added ('OK')	image/png	etag:%225370b084-19c8%22	http://mediaget.com/images/nanoav_logo_gorisontal.png	D:/2/mediaget.com/images/nanoav_logo_gorisontal.png	(from http://mediaget.com/)
16:44:29	15122/15122	---M--	200	added ('OK')	text/html	etag:%225a1bdb35-3b12%22	http://cdn.connect.mail.ru/js/loader.js	D:/2/cdn.connect.mail.ru/js/loader.html	(from http://mediaget.com/)
16:44:30	161/161	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:29%20GMT	http://mediaget.com/stg.odnoklassniki.ru/share/odkl_share.js	D:/2/mediaget.com/stg.odnoklassniki.ru/share/odkl_share.25.delayed	(from http://mediaget.com/)
16:44:31	8664/8664	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Dec%202018%2014:44:29%20GMT	http://mediaget.com/404	D:/2/mediaget.com/404.html	(from http://mediaget.com/)
16:44:31	161/161	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2014%20Dec%202018%2014:44:30%20GMT	http://mediaget.com/vk.com/js/api/openapi.js?1023	D:/2/mediaget.com/vk.com/js/api/openapice51.js	(from http://mediaget.com/)
16:44:33	8664/8664	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Dec%202018%2014:44:31%20GMT	http://mediaget.com/404?1023	D:/2/mediaget.com/404ce51.html	(from http://mediaget.com/)
16:44:34	18837/18837	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Dec%202018%2014:44:32%20GMT	http://mediaget.com/news	D:/2/mediaget.com/news.html	(from http://mediaget.com/)
16:44:34	62959/62959	---M--	200	added ('OK')	image/png	etag:%225270b15e-f5ef%22	http://mediaget.com/userfiles/images/loc/en/s2.png	D:/2/mediaget.com/userfiles/images/loc/en/s2.png	(from http://mediaget.com/)
16:44:36	22088/22088	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Dec%202018%2014:44:34%20GMT	http://mediaget.com/privacy	D:/2/mediaget.com/privacy.html	(from http://mediaget.com/)
